Material_Key,SAP_Material_Number,QAD_Material_Number,SAP_Planning_SKU,QAD_Planning_SKU,material_description,material_type,unit_of_measure,unit_of_measure_description,product_line,product_line_description,weight,application,sub_application,brand,brand_category,length_in,width_in,height_in,warranty_months,pallet_quantity,cost_usd,pallet_layer_qty,MCN
2050,454793608,Q793106,PLN-202050,QPLN-202050,VoltMax Enclosures Energy Storage 02050,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",25.41,Energy,Storage,VoltMax,Premium,46,5,2,11,2,477.71,1,MCN1141
2051,361915125,Q808038,PLN-202051,QPLN-202051,VoltMax Charging Industrial Backup Power 02051,RM,FT,Feet,Charging,Chargers & accessories,17.41,Industrial,Backup Power,VoltMax,Premium,39,16,7,14,12,12.94,3,
2052,460112235,Q361342,PLN-202052,QPLN-202052,EcoCell Thermal Industrial Material Handling 02052,RM,EA,Each,Thermal,Cooling systems & manifolds,2.95,Industrial,Material Handling,EcoCell,Value,34,8,19,9,6,53.14,6,
2053,582110409,Q685401,PLN-202053,QPLN-202053,TitanCore Thermal Industrial Backup Power 02053,RM,LBS,Pounds,Thermal,Cooling systems & manifolds,18.84,Industrial,Backup Power,TitanCore,Industrial,26,33,6,0,3,33.58,1,
2054,119438745,Q351224,PLN-202054,QPLN-202054,VoltMax Wiring Aerospace Avionics 02054,FG,EA,Each,Wiring,Harnesses & connectors,13.64,Aerospace,Avionics,VoltMax,Premium,2,18,19,13,40,408.77,40,MCN2690
2055,211320759,Q865914,PLN-202055,QPLN-202055,EcoCell Wiring Energy Storage 02055,SFG,LBS,Pounds,Wiring,Harnesses & connectors,5.81,Energy,Storage,EcoCell,Value,22,8,8,15,6,162.12,6,
2056,849296518,Q117276,PLN-202056,QPLN-202056,VoltMax Thermal Medical Devices 02056,RM,FT,Feet,Thermal,Cooling systems & manifolds,0.1,Medical,Devices,VoltMax,Premium,43,13,13,2,1,67.12,1,
2057,151450299,Q417437,PLN-202057,QPLN-202057,EcoCell Controls Energy Storage 02057,RM,SET,Set,Controls,Controllers & power electronics,8.11,Energy,Storage,EcoCell,Value,27,16,14,5,3,37.55,3,
2058,110447993,Q310571,PLN-202058,QPLN-202058,EcoCell Charging Energy Storage 02058,FG,LBS,Pounds,Charging,Chargers & accessories,17.64,Energy,Storage,EcoCell,Value,27,8,8,22,12,196.32,6,MCN2094
2059,793992362,Q305907,PLN-202059,QPLN-202059,TitanCore Sensing Medical Devices 02059,SFG,KG,Kilogram,Sensing,Sensors & actuators,0.62,Medical,Devices,TitanCore,Industrial,20,9,1,19,20,58.2,10,
2060,480967622,Q943116,PLN-202060,QPLN-202060,EcoCell Thermal Industrial Backup Power 02060,FG,FT,Feet,Thermal,Cooling systems & manifolds,11.25,Industrial,Backup Power,EcoCell,Value,6,7,8,37,72,218.62,36,MCN2365
2061,888672742,Q997662,PLN-202061,QPLN-202061,HarborVolt Energy Storage Marine Propulsion 02061,SUBASSY,EA,Each,Energy Storage,Battery modules and packs,9.07,Marine,Propulsion,HarborVolt,Marine,36,16,16,2,3,157.77,3,
2062,851341959,Q398623,PLN-202062,QPLN-202062,VoltMax Thermal Automotive EV/Hybrid 02062,SUBASSY,EA,Each,Thermal,Cooling systems & manifolds,29.76,Automotive,EV/Hybrid,VoltMax,Premium,18,25,26,13,8,168.08,2,
2063,763952759,Q879190,PLN-202063,QPLN-202063,MediPower Enclosures Industrial Material Handling 02063,SUBASSY,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",2.27,Industrial,Material Handling,MediPower,Medical,47,3,9,12,2,138.02,1,
2064,768742684,Q114210,PLN-202064,QPLN-202064,MediPower Enclosures Energy Storage 02064,PKG,EA,Each,Enclosures,"Cabinets, housings, brackets",1.11,Energy,Storage,MediPower,Medical,11,23,10,19,6,6.46,6,
2065,862558694,Q131564,PLN-202065,QPLN-202065,TitanCore Charging Aerospace Avionics 02065,FG,LBS,Pounds,Charging,Chargers & accessories,42.07,Aerospace,Avionics,TitanCore,Industrial,10,36,16,29,8,239.35,4,MCN1448
2066,738104777,Q323613,PLN-202066,QPLN-202066,TitanCore Thermal Automotive EV/Hybrid 02066,SFG,SET,Set,Thermal,Cooling systems & manifolds,23.07,Automotive,EV/Hybrid,TitanCore,Industrial,40,11,1,17,12,177.62,4,
2067,111647445,Q165833,PLN-202067,QPLN-202067,MediPower Wiring Marine Propulsion 02067,FG,EA,Each,Wiring,Harnesses & connectors,21.9,Marine,Propulsion,MediPower,Medical,21,6,1,25,16,661.68,8,MCN2831
2068,703526986,Q536596,PLN-202068,QPLN-202068,VoltMax Thermal Automotive ICE 02068,FG,EA,Each,Thermal,Cooling systems & manifolds,3.06,Automotive,ICE,VoltMax,Premium,25,20,11,28,8,370.73,2,MCN3245
2069,581663393,Q328011,PLN-202069,QPLN-202069,MediPower Enclosures Automotive EV/Hybrid 02069,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",14.05,Automotive,EV/Hybrid,MediPower,Medical,15,15,8,25,24,512.28,6,MCN1454
2070,360026943,Q428907,PLN-202070,QPLN-202070,AeroLite Sensing Marine Propulsion 02070,SFG,FT,Feet,Sensing,Sensors & actuators,4.67,Marine,Propulsion,AeroLite,Aerospace,14,24,21,13,12,286.55,4,
2071,895519587,Q774709,PLN-202071,QPLN-202071,MediPower Enclosures Industrial Backup Power 02071,SFG,SET,Set,Enclosures,"Cabinets, housings, brackets",4.54,Industrial,Backup Power,MediPower,Medical,31,3,6,11,64,230.42,16,
2072,636459987,Q139978,PLN-202072,QPLN-202072,HarborVolt Enclosures Industrial Material Handling 02072,RM,SET,Set,Enclosures,"Cabinets, housings, brackets",18.65,Industrial,Material Handling,HarborVolt,Marine,14,20,14,12,8,47.37,4,
2073,814698828,Q232024,PLN-202073,QPLN-202073,HarborVolt Enclosures Automotive ICE 02073,SFG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",10.43,Automotive,ICE,HarborVolt,Marine,35,27,3,12,1,226.66,1,
2074,522409595,Q617277,PLN-202074,QPLN-202074,HarborVolt Thermal Industrial Backup Power 02074,SFG,FT,Feet,Thermal,Cooling systems & manifolds,4.43,Industrial,Backup Power,HarborVolt,Marine,35,1,6,21,96,191.46,48,
2075,758744715,Q228037,PLN-202075,QPLN-202075,HarborVolt Sensing Industrial Backup Power 02075,RM,EA,Each,Sensing,Sensors & actuators,9.28,Industrial,Backup Power,HarborVolt,Marine,9,15,10,13,12,65.69,12,
2076,425274775,Q825227,PLN-202076,QPLN-202076,TitanCore Enclosures Automotive ICE 02076,SFG,EA,Each,Enclosures,"Cabinets, housings, brackets",11.78,Automotive,ICE,TitanCore,Industrial,20,9,9,7,10,131.44,10,
2077,516165430,Q988376,PLN-202077,QPLN-202077,AeroLite Thermal Medical Devices 02077,SFG,SET,Set,Thermal,Cooling systems & manifolds,10.59,Medical,Devices,AeroLite,Aerospace,4,3,6,17,480,283.19,160,
2078,605642301,Q244480,PLN-202078,QPLN-202078,AeroLite Sensing Aerospace Avionics 02078,RM,FT,Feet,Sensing,Sensors & actuators,9.53,Aerospace,Avionics,AeroLite,Aerospace,11,29,17,16,9,84.4,3,
2079,873739327,Q949090,PLN-202079,QPLN-202079,TitanCore Sensing Automotive ICE 02079,RM,EA,Each,Sensing,Sensors & actuators,14.31,Automotive,ICE,TitanCore,Industrial,5,8,8,17,192,43.73,48,
2080,617045163,Q145924,PLN-202080,QPLN-202080,MediPower Energy Storage Aerospace Avionics 02080,FG,FT,Feet,Energy Storage,Battery modules and packs,10.95,Aerospace,Avionics,MediPower,Medical,20,28,6,21,8,386.27,2,MCN1668
2081,414982267,Q900548,PLN-202081,QPLN-202081,VoltMax Energy Storage Aerospace Avionics 02081,SFG,FT,Feet,Energy Storage,Battery modules and packs,15.29,Aerospace,Avionics,VoltMax,Premium,7,9,6,5,75,223.64,25,
2082,500793154,Q926602,PLN-202082,QPLN-202082,VoltMax Charging Aerospace Avionics 02082,RM,EA,Each,Charging,Chargers & accessories,9.46,Aerospace,Avionics,VoltMax,Premium,47,27,15,11,2,56.04,1,
2083,306230313,Q912525,PLN-202083,QPLN-202083,MediPower Sensing Industrial Material Handling 02083,PKG,KG,Kilogram,Sensing,Sensors & actuators,1.63,Industrial,Material Handling,MediPower,Medical,23,17,1,6,8,10.51,2,
2084,438249779,Q764964,PLN-202084,QPLN-202084,EcoCell Sensing Automotive ICE 02084,FG,EA,Each,Sensing,Sensors & actuators,2.96,Automotive,ICE,EcoCell,Value,21,16,4,19,9,93.2,3,MCN1435
2085,109213012,Q383179,PLN-202085,QPLN-202085,VoltMax Wiring Industrial Material Handling 02085,FG,FT,Feet,Wiring,Harnesses & connectors,0.18,Industrial,Material Handling,VoltMax,Premium,19,1,19,22,192,297.03,96,MCN2189
2086,776246175,Q442576,PLN-202086,QPLN-202086,MediPower Sensing Industrial Material Handling 02086,FG,KG,Kilogram,Sensing,Sensors & actuators,2.46,Industrial,Material Handling,MediPower,Medical,6,8,16,21,72,441.66,36,MCN3458
2087,314281386,Q899232,PLN-202087,QPLN-202087,VoltMax Controls Aerospace Avionics 02087,FG,KG,Kilogram,Controls,Controllers & power electronics,0.7,Aerospace,Avionics,VoltMax,Premium,12,19,1,25,12,438.61,6,MCN1617
2088,367716251,Q328780,PLN-202088,QPLN-202088,TitanCore Thermal Automotive ICE 02088,RM,EA,Each,Thermal,Cooling systems & manifolds,9.46,Automotive,ICE,TitanCore,Industrial,10,4,15,5,48,37.56,48,
2089,519232968,Q324806,PLN-202089,QPLN-202089,AeroLite Wiring Marine Propulsion 02089,FG,SET,Set,Wiring,Harnesses & connectors,11.87,Marine,Propulsion,AeroLite,Aerospace,25,17,11,14,2,397.58,2,MCN2016
2090,571271572,Q846691,PLN-202090,QPLN-202090,EcoCell Wiring Automotive ICE 02090,FG,LBS,Pounds,Wiring,Harnesses & connectors,2.2,Automotive,ICE,EcoCell,Value,39,11,1,22,4,302.36,4,MCN1803
2091,218444451,Q448407,PLN-202091,QPLN-202091,AeroLite Thermal Automotive EV/Hybrid 02091,PKG,SET,Set,Thermal,Cooling systems & manifolds,8.56,Automotive,EV/Hybrid,AeroLite,Aerospace,30,36,9,2,2,8.41,1,
2092,946804152,Q652031,PLN-202092,QPLN-202092,MediPower Controls Automotive EV/Hybrid 02092,FG,LBS,Pounds,Controls,Controllers & power electronics,2.22,Automotive,EV/Hybrid,MediPower,Medical,18,1,16,19,96,455.28,96,MCN2846
2093,976031404,Q948866,PLN-202093,QPLN-202093,HarborVolt Thermal Automotive ICE 02093,FG,SET,Set,Thermal,Cooling systems & manifolds,16.44,Automotive,ICE,HarborVolt,Marine,14,10,23,23,8,383.4,8,MCN3289
2094,761454568,Q623205,PLN-202094,QPLN-202094,EcoCell Wiring Energy Storage 02094,FG,LBS,Pounds,Wiring,Harnesses & connectors,11.8,Energy,Storage,EcoCell,Value,15,9,12,8,30,237.17,10,MCN1642
2095,162813847,Q715220,PLN-202095,QPLN-202095,VoltMax Controls Aerospace Avionics 02095,FG,SET,Set,Controls,Controllers & power electronics,15.06,Aerospace,Avionics,VoltMax,Premium,22,17,5,25,4,438.39,2,MCN1630
2096,940461320,Q920135,PLN-202096,QPLN-202096,HarborVolt Energy Storage Energy Storage 02096,RM,KG,Kilogram,Energy Storage,Battery modules and packs,16.94,Energy,Storage,HarborVolt,Marine,25,19,7,9,2,40.85,2,
2097,256302739,Q467546,PLN-202097,QPLN-202097,EcoCell Controls Industrial Backup Power 02097,FG,LBS,Pounds,Controls,Controllers & power electronics,60.8,Industrial,Backup Power,EcoCell,Value,34,17,10,25,6,157.27,2,MCN1915
2098,830997237,Q134249,PLN-202098,QPLN-202098,MediPower Enclosures Automotive ICE 02098,SFG,EA,Each,Enclosures,"Cabinets, housings, brackets",20.03,Automotive,ICE,MediPower,Medical,28,22,4,15,6,146.59,2,
2099,210012774,Q578796,PLN-202099,QPLN-202099,MediPower Enclosures Aerospace Avionics 02099,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",15.77,Aerospace,Avionics,MediPower,Medical,38,14,18,27,3,495.75,3,MCN1049
2100,326269955,Q719767,PLN-202100,QPLN-202100,AeroLite Charging Energy Storage 02100,FG,EA,Each,Charging,Chargers & accessories,3.52,Energy,Storage,AeroLite,Aerospace,31,10,5,17,4,342.45,4,MCN3166
2101,137089563,Q289491,PLN-202101,QPLN-202101,VoltMax Sensing Marine Propulsion 02101,FG,EA,Each,Sensing,Sensors & actuators,6.74,Marine,Propulsion,VoltMax,Premium,24,19,8,15,4,488.12,2,MCN3048
2102,666736578,Q191649,PLN-202102,QPLN-202102,AeroLite Charging Industrial Material Handling 02102,FG,LBS,Pounds,Charging,Chargers & accessories,25.13,Industrial,Material Handling,AeroLite,Aerospace,15,26,8,25,8,273.04,2,MCN2147
2103,559036713,Q433591,PLN-202103,QPLN-202103,VoltMax Sensing Marine Propulsion 02103,SUBASSY,FT,Feet,Sensing,Sensors & actuators,5.11,Marine,Propulsion,VoltMax,Premium,38,6,12,20,8,160.76,8,
2104,443814445,Q176207,PLN-202104,QPLN-202104,EcoCell Charging Energy Storage 02104,PKG,KG,Kilogram,Charging,Chargers & accessories,7.82,Energy,Storage,EcoCell,Value,34,10,7,16,8,6.05,4,
2105,748611288,Q387338,PLN-202105,QPLN-202105,TitanCore Sensing Automotive EV/Hybrid 02105,RM,SET,Set,Sensing,Sensors & actuators,1.91,Automotive,EV/Hybrid,TitanCore,Industrial,13,2,3,8,144,57.1,72,
2106,227412640,Q685041,PLN-202106,QPLN-202106,AeroLite Energy Storage Automotive ICE 02106,RM,SET,Set,Energy Storage,Battery modules and packs,14.68,Automotive,ICE,AeroLite,Aerospace,10,20,2,6,24,50.63,8,
2107,326812995,Q245563,PLN-202107,QPLN-202107,EcoCell Enclosures Automotive ICE 02107,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",6.63,Automotive,ICE,EcoCell,Value,39,24,3,17,2,278.64,2,MCN2540
2108,528909655,Q735606,PLN-202108,QPLN-202108,MediPower Sensing Automotive EV/Hybrid 02108,SUBASSY,KG,Kilogram,Sensing,Sensors & actuators,22.85,Automotive,EV/Hybrid,MediPower,Medical,33,22,19,19,4,120.47,2,
2109,117254798,Q762274,PLN-202109,QPLN-202109,MediPower Energy Storage Industrial Backup Power 02109,PKG,SET,Set,Energy Storage,Battery modules and packs,8.29,Industrial,Backup Power,MediPower,Medical,16,11,11,8,32,6.09,8,
2110,632504635,Q591376,PLN-202110,QPLN-202110,EcoCell Wiring Aerospace Avionics 02110,SFG,LBS,Pounds,Wiring,Harnesses & connectors,7.5,Aerospace,Avionics,EcoCell,Value,30,3,10,6,48,190.31,16,
2111,380088342,Q474791,PLN-202111,QPLN-202111,VoltMax Sensing Medical Devices 02111,SFG,LBS,Pounds,Sensing,Sensors & actuators,0.58,Medical,Devices,VoltMax,Premium,1,23,4,1,240,228.51,80,
2112,274414051,Q250764,PLN-202112,QPLN-202112,VoltMax Wiring Automotive EV/Hybrid 02112,RM,SET,Set,Wiring,Harnesses & connectors,8.38,Automotive,EV/Hybrid,VoltMax,Premium,19,12,1,13,24,95.26,8,
2113,154476738,Q788094,PLN-202113,QPLN-202113,EcoCell Charging Energy Storage 02113,RM,EA,Each,Charging,Chargers & accessories,5.11,Energy,Storage,EcoCell,Value,30,7,11,7,18,31.54,6,
2114,554326238,Q452505,PLN-202114,QPLN-202114,AeroLite Sensing Energy Storage 02114,FG,FT,Feet,Sensing,Sensors & actuators,4.83,Energy,Storage,AeroLite,Aerospace,24,12,20,30,12,270.74,4,MCN2212
2115,598547515,Q862108,PLN-202115,QPLN-202115,HarborVolt Sensing Medical Devices 02115,PKG,KG,Kilogram,Sensing,Sensors & actuators,10.74,Medical,Devices,HarborVolt,Marine,33,16,8,17,3,9.25,3,
2116,244652698,Q282427,PLN-202116,QPLN-202116,MediPower Controls Industrial Backup Power 02116,SFG,EA,Each,Controls,Controllers & power electronics,9.09,Industrial,Backup Power,MediPower,Medical,6,20,9,4,24,308.82,12,
2117,319452339,Q170933,PLN-202117,QPLN-202117,HarborVolt Sensing Medical Devices 02117,SUBASSY,SET,Set,Sensing,Sensors & actuators,2.96,Medical,Devices,HarborVolt,Marine,35,17,13,11,2,136.31,2,
2118,905821413,Q801358,PLN-202118,QPLN-202118,MediPower Enclosures Medical Devices 02118,PKG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",13.42,Medical,Devices,MediPower,Medical,32,16,14,19,3,6.73,3,
2119,316250735,Q973863,PLN-202119,QPLN-202119,MediPower Charging Industrial Material Handling 02119,SFG,SET,Set,Charging,Chargers & accessories,8.92,Industrial,Material Handling,MediPower,Medical,19,17,14,9,16,194.0,4,
2120,282782185,Q991668,PLN-202120,QPLN-202120,VoltMax Enclosures Marine Propulsion 02120,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",0.1,Marine,Propulsion,VoltMax,Premium,10,8,17,26,72,361.18,24,MCN1298
2121,568345494,Q256010,PLN-202121,QPLN-202121,MediPower Enclosures Energy Storage 02121,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",27.14,Energy,Storage,MediPower,Medical,39,23,14,23,2,432.57,2,MCN3227
2122,270751405,Q324978,PLN-202122,QPLN-202122,MediPower Charging Energy Storage 02122,PKG,KG,Kilogram,Charging,Chargers & accessories,14.87,Energy,Storage,MediPower,Medical,25,18,9,5,6,7.54,2,
2123,441191756,Q559331,PLN-202123,QPLN-202123,VoltMax Sensing Automotive ICE 02123,RM,LBS,Pounds,Sensing,Sensors & actuators,10.41,Automotive,ICE,VoltMax,Premium,21,25,3,18,2,47.55,1,
2124,754285567,Q876851,PLN-202124,QPLN-202124,AeroLite Enclosures Medical Devices 02124,PKG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",8.91,Medical,Devices,AeroLite,Aerospace,29,9,4,20,5,10.11,5,
2125,470381409,Q622669,PLN-202125,QPLN-202125,TitanCore Wiring Automotive EV/Hybrid 02125,RM,SET,Set,Wiring,Harnesses & connectors,0.1,Automotive,EV/Hybrid,TitanCore,Industrial,31,18,10,20,8,61.04,2,
2126,358239289,Q439852,PLN-202126,QPLN-202126,TitanCore Controls Energy Storage 02126,FG,LBS,Pounds,Controls,Controllers & power electronics,4.2,Energy,Storage,TitanCore,Industrial,25,1,20,15,96,270.74,48,MCN3376
2127,562367030,Q151963,PLN-202127,QPLN-202127,MediPower Charging Aerospace Avionics 02127,FG,LBS,Pounds,Charging,Chargers & accessories,2.12,Aerospace,Avionics,MediPower,Medical,16,9,6,21,20,412.3,10,MCN2064
2128,344321128,Q569677,PLN-202128,QPLN-202128,AeroLite Energy Storage Industrial Material Handling 02128,SFG,FT,Feet,Energy Storage,Battery modules and packs,0.1,Industrial,Material Handling,AeroLite,Aerospace,39,1,21,5,96,293.29,48,
2129,211961999,Q261071,PLN-202129,QPLN-202129,AeroLite Controls Marine Propulsion 02129,SUBASSY,EA,Each,Controls,Controllers & power electronics,3.15,Marine,Propulsion,AeroLite,Aerospace,16,15,10,15,18,138.47,6,
2130,128333483,Q859297,PLN-202130,QPLN-202130,MediPower Sensing Aerospace Avionics 02130,FG,SET,Set,Sensing,Sensors & actuators,22.95,Aerospace,Avionics,MediPower,Medical,28,21,10,17,4,396.19,2,MCN2086
2131,886724220,Q483738,PLN-202131,QPLN-202131,HarborVolt Enclosures Medical Devices 02131,RM,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",18.07,Medical,Devices,HarborVolt,Marine,11,29,5,17,3,39.43,3,
2132,186520270,Q279495,PLN-202132,QPLN-202132,EcoCell Enclosures Aerospace Avionics 02132,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",0.39,Aerospace,Avionics,EcoCell,Value,33,19,8,23,8,189.67,2,MCN2727
2133,604636057,Q481605,PLN-202133,QPLN-202133,AeroLite Thermal Automotive ICE 02133,RM,SET,Set,Thermal,Cooling systems & manifolds,9.96,Automotive,ICE,AeroLite,Aerospace,32,14,16,11,3,65.92,3,
2134,407047217,Q257302,PLN-202134,QPLN-202134,TitanCore Charging Aerospace Avionics 02134,FG,EA,Each,Charging,Chargers & accessories,14.53,Aerospace,Avionics,TitanCore,Industrial,40,5,12,28,18,415.97,9,MCN1422
2135,166914150,Q989619,PLN-202135,QPLN-202135,MediPower Thermal Energy Storage 02135,RM,SET,Set,Thermal,Cooling systems & manifolds,0.1,Energy,Storage,MediPower,Medical,1,19,3,8,80,82.13,80,
2136,295310506,Q142896,PLN-202136,QPLN-202136,MediPower Energy Storage Industrial Material Handling 02136,RM,LBS,Pounds,Energy Storage,Battery modules and packs,59.65,Industrial,Material Handling,MediPower,Medical,36,21,12,12,8,79.44,2,
2137,150521741,Q929264,PLN-202137,QPLN-202137,EcoCell Energy Storage Aerospace Avionics 02137,FG,SET,Set,Energy Storage,Battery modules and packs,7.16,Aerospace,Avionics,EcoCell,Value,29,22,2,20,2,218.8,2,MCN1894
2138,647901704,Q686403,PLN-202138,QPLN-202138,AeroLite Energy Storage Energy Storage 02138,FG,FT,Feet,Energy Storage,Battery modules and packs,15.67,Energy,Storage,AeroLite,Aerospace,26,10,3,29,12,625.17,4,MCN3494
2139,157399540,Q143603,PLN-202139,QPLN-202139,AeroLite Charging Aerospace Avionics 02139,PKG,EA,Each,Charging,Chargers & accessories,15.6,Aerospace,Avionics,AeroLite,Aerospace,33,13,11,20,6,6.62,3,
2140,640675451,Q882348,PLN-202140,QPLN-202140,HarborVolt Wiring Automotive EV/Hybrid 02140,SUBASSY,LBS,Pounds,Wiring,Harnesses & connectors,5.07,Automotive,EV/Hybrid,HarborVolt,Marine,32,5,6,5,18,118.38,9,
2141,577102401,Q991248,PLN-202141,QPLN-202141,VoltMax Controls Industrial Material Handling 02141,FG,SET,Set,Controls,Controllers & power electronics,18.83,Industrial,Material Handling,VoltMax,Premium,23,30,12,26,3,660.65,1,MCN2633
2142,935057941,Q943208,PLN-202142,QPLN-202142,VoltMax Sensing Aerospace Avionics 02142,RM,FT,Feet,Sensing,Sensors & actuators,15.73,Aerospace,Avionics,VoltMax,Premium,11,11,13,10,48,69.96,12,
2143,541929047,Q304958,PLN-202143,QPLN-202143,TitanCore Controls Energy Storage 02143,PKG,LBS,Pounds,Controls,Controllers & power electronics,10.82,Energy,Storage,TitanCore,Industrial,35,3,18,12,64,6.46,16,
2144,860103429,Q462086,PLN-202144,QPLN-202144,AeroLite Controls Industrial Backup Power 02144,SFG,SET,Set,Controls,Controllers & power electronics,17.01,Industrial,Backup Power,AeroLite,Aerospace,12,19,5,4,6,263.94,6,
2145,496552560,Q377584,PLN-202145,QPLN-202145,EcoCell Enclosures Energy Storage 02145,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",12.7,Energy,Storage,EcoCell,Value,27,24,12,30,6,222.73,2,MCN3008
2146,803659433,Q908741,PLN-202146,QPLN-202146,HarborVolt Energy Storage Energy Storage 02146,RM,KG,Kilogram,Energy Storage,Battery modules and packs,4.24,Energy,Storage,HarborVolt,Marine,10,40,10,9,12,58.63,4,
2147,968069291,Q469537,PLN-202147,QPLN-202147,AeroLite Wiring Automotive ICE 02147,RM,KG,Kilogram,Wiring,Harnesses & connectors,4.69,Automotive,ICE,AeroLite,Aerospace,7,13,20,21,15,75.16,15,
2148,634106028,Q405898,PLN-202148,QPLN-202148,TitanCore Thermal Industrial Material Handling 02148,FG,EA,Each,Thermal,Cooling systems & manifolds,15.74,Industrial,Material Handling,TitanCore,Industrial,36,25,22,31,2,208.07,1,MCN1670
2149,603311646,Q625883,PLN-202149,QPLN-202149,VoltMax Energy Storage Marine Propulsion 02149,RM,LBS,Pounds,Energy Storage,Battery modules and packs,10.75,Marine,Propulsion,VoltMax,Premium,34,8,7,0,18,62.17,6,
2150,995252358,Q825782,PLN-202150,QPLN-202150,EcoCell Charging Medical Devices 02150,RM,KG,Kilogram,Charging,Chargers & accessories,16.46,Medical,Devices,EcoCell,Value,15,20,14,13,16,35.38,4,
2151,392513473,Q920004,PLN-202151,QPLN-202151,HarborVolt Enclosures Automotive EV/Hybrid 02151,FG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",13.64,Automotive,EV/Hybrid,HarborVolt,Marine,26,10,12,21,4,623.37,4,MCN1987
2152,542371563,Q956922,PLN-202152,QPLN-202152,MediPower Energy Storage Energy Storage 02152,SFG,EA,Each,Energy Storage,Battery modules and packs,13.87,Energy,Storage,MediPower,Medical,33,27,13,14,3,208.29,1,
2153,710213882,Q342742,PLN-202153,QPLN-202153,TitanCore Sensing Automotive EV/Hybrid 02153,FG,LBS,Pounds,Sensing,Sensors & actuators,30.52,Automotive,EV/Hybrid,TitanCore,Industrial,23,20,7,24,4,131.65,2,MCN1743
2154,184594445,Q101314,PLN-202154,QPLN-202154,EcoCell Energy Storage Medical Devices 02154,RM,SET,Set,Energy Storage,Battery modules and packs,0.1,Medical,Devices,EcoCell,Value,26,2,8,9,72,66.01,24,
2155,458089514,Q997780,PLN-202155,QPLN-202155,AeroLite Energy Storage Medical Devices 02155,SFG,SET,Set,Energy Storage,Battery modules and packs,1.17,Medical,Devices,AeroLite,Aerospace,18,5,12,10,18,335.08,18,
2156,815095333,Q974881,PLN-202156,QPLN-202156,HarborVolt Wiring Automotive EV/Hybrid 02156,SFG,KG,Kilogram,Wiring,Harnesses & connectors,12.61,Automotive,EV/Hybrid,HarborVolt,Marine,20,33,9,5,4,193.96,2,
2157,419021401,Q679884,PLN-202157,QPLN-202157,MediPower Charging Automotive EV/Hybrid 02157,RM,EA,Each,Charging,Chargers & accessories,0.1,Automotive,EV/Hybrid,MediPower,Medical,28,13,9,11,12,51.68,3,
2158,120925706,Q981634,PLN-202158,QPLN-202158,MediPower Wiring Automotive EV/Hybrid 02158,RM,LBS,Pounds,Wiring,Harnesses & connectors,25.88,Automotive,EV/Hybrid,MediPower,Medical,16,10,15,16,16,45.29,8,
2159,983511337,Q581383,PLN-202159,QPLN-202159,AeroLite Enclosures Energy Storage 02159,SFG,SET,Set,Enclosures,"Cabinets, housings, brackets",16.46,Energy,Storage,AeroLite,Aerospace,38,8,8,6,12,348.97,6,
2160,367818417,Q552286,PLN-202160,QPLN-202160,EcoCell Sensing Automotive ICE 02160,PKG,EA,Each,Sensing,Sensors & actuators,22.1,Automotive,ICE,EcoCell,Value,6,6,13,22,96,4.4,48,
2161,650871200,Q343610,PLN-202161,QPLN-202161,MediPower Thermal Industrial Material Handling 02161,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,3.6,Industrial,Material Handling,MediPower,Medical,7,14,13,32,60,568.56,15,MCN1438
2162,229420492,Q157410,PLN-202162,QPLN-202162,AeroLite Enclosures Automotive EV/Hybrid 02162,SFG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",6.05,Automotive,EV/Hybrid,AeroLite,Aerospace,19,10,14,22,16,345.82,8,
2163,560715438,Q249878,PLN-202163,QPLN-202163,TitanCore Thermal Industrial Material Handling 02163,SFG,KG,Kilogram,Thermal,Cooling systems & manifolds,9.73,Industrial,Material Handling,TitanCore,Industrial,22,12,12,14,4,170.75,4,
2164,686815790,Q127147,PLN-202164,QPLN-202164,AeroLite Sensing Automotive ICE 02164,SFG,SET,Set,Sensing,Sensors & actuators,15.86,Automotive,ICE,AeroLite,Aerospace,30,10,3,12,8,290.59,4,
2165,920099779,Q266718,PLN-202165,QPLN-202165,MediPower Charging Medical Devices 02165,RM,EA,Each,Charging,Chargers & accessories,16.22,Medical,Devices,MediPower,Medical,28,7,22,6,12,85.4,6,
2166,384565884,Q299869,PLN-202166,QPLN-202166,MediPower Wiring Medical Devices 02166,SFG,KG,Kilogram,Wiring,Harnesses & connectors,14.1,Medical,Devices,MediPower,Medical,34,6,14,13,16,255.54,8,
